Id,SalePrice
1461,132534.23
1462,176183.84
1463,191214.72
1464,195575.6
1465,191864.58
1466,178569.05
1467,179009.08
1468,167295.5
1469,172529.7
1470,120434.65
1471,199009.14
1472,100855.234
1473,92510.92
1474,158620.89
1475,123167.75
1476,400201.47
1477,237274.89
1478,303607.62
1479,275869.25
1480,396638.0
1481,339357.9
1482,205162.9
1483,166339.61
1484,168418.77
1485,173960.4
1486,195813.48
1487,371809.9
1488,264195.25
1489,184380.58
1490,168589.17
1491,179213.81
1492,106876.445
1493,191969.31
1494,303774.53
1495,318816.03
1496,216095.72
1497,168040.19
1498,152259.42
1499,160179.52
1500,135423.84
1501,160281.25
1502,152834.9
1503,247605.25
1504,230508.02
1505,209880.1
1506,199009.4
1507,245639.4
1508,220891.69
1509,159532.67
1510,142064.66
1511,145852.62
1512,183168.69
1513,151346.39
1514,161442.3
1515,212385.67
1516,166801.39
1517,153393.55
1518,141833.9
1519,207512.16
1520,137337.19
1521,139993.45
1522,174115.69
1523,121462.03
1524,122630.54
1525,132037.72
1526,129512.0
1527,115912.734
1528,135438.3
1529,145463.34
1530,186910.45
1531,125853.28
1532,94775.27
1533,148539.84
1534,126208.945
1535,148049.6
1536,108433.945
1537,77552.1
1538,199049.4
1539,217773.5
1540,107856.89
1541,153392.64
1542,146726.98
1543,232159.84
1544,85861.71
1545,97685.805
1546,120125.016
1547,130894.51
1548,127514.625
1549,103786.164
1550,140337.1
1551,96956.07
1552,127164.42
1553,153713.14
1554,110784.32
1555,180639.28
1556,87557.05
1557,92275.805
1558,85512.41
1559,104741.52
1560,130734.234
1561,127033.56
1562,123748.56
1563,113192.33
1564,150924.7
1565,143822.34
1566,210554.97
1567,69673.23
1568,242193.89
1569,122854.53
1570,123223.11
1571,140331.12
1572,148403.02
1573,234888.55
1574,102361.45
1575,174993.77
1576,206546.64
1577,176724.88
1578,154359.84
1579,142060.62
1580,188585.5
1581,156294.61
1582,118119.58
1583,338993.94
1584,221193.12
1585,130770.29
1586,63422.12
1587,101259.32
1588,132788.08
1589,107867.8
1590,126802.53
1591,103436.39
1592,115333.94
1593,124011.414
1594,128193.484
1595,94979.805
1596,232218.25
1597,146980.73
1598,201161.55
1599,184305.06
1600,181041.05
1601,55764.473
1602,122741.234
1603,80884.24
1604,276234.7
1605,250673.78
1606,166723.62
1607,181455.66
1608,203417.08
1609,154891.86
1610,151953.1
1611,150456.3
1612,172711.42
1613,164938.33
1614,120714.56
1615,78656.08
1616,66434.63
1617,81958.055
1618,122245.78
1619,146152.72
1620,125436.734
1621,133236.53
1622,140775.27
1623,285841.94
1624,187136.42
1625,134692.45
1626,170712.48
1627,195129.25
1628,269220.97
1629,185231.6
1630,313649.7
1631,232459.45
1632,250656.97
1633,168224.36
1634,189634.77
1635,180953.47
1636,155161.56
1637,182392.6
1638,218566.83
1639,191326.81
1640,263924.78
1641,184827.11
1642,207150.39
1643,233565.39
1644,218344.84
1645,182715.27
1646,140630.5
1647,170571.9
1648,130006.375
1649,137431.66
1650,127923.55
1651,123838.94
1652,96802.17
1653,101068.22
1654,154130.6
1655,149403.22
1656,150335.17
1657,165236.4
1658,149713.66
1659,115793.12
1660,155211.58
1661,409840.0
1662,345241.66
1663,388147.56
1664,214365.44
1665,305394.25
1666,326425.2
1667,324849.7
1668,314110.25
1669,284611.94
1670,319638.3
1671,236168.14
1672,471074.97
1673,293159.3
1674,261404.86
1675,183165.12
1676,190219.11
1677,213957.28
1678,411847.2
1679,362941.66
1680,297182.72
1681,242572.1
1682,293442.84
1683,180774.3
1684,168086.67
1685,186952.97
1686,160717.28
1687,174697.31
1688,189969.1
1689,192182.56
1690,196809.39
1691,178622.53
1692,270431.28
1693,164674.4
1694,186897.16
1695,174713.98
1696,282867.03
1697,181916.61
1698,338042.3
1699,313457.56
1700,213916.22
1701,269227.12
1702,261356.97
1703,262745.47
1704,289419.3
1705,215369.25
1706,326889.88
1707,187598.62
1708,193640.19
1709,273719.78
1710,212276.64
1711,235819.3
1712,223747.12
1713,275059.72
1714,213281.53
1715,196084.58
1716,180634.53
1717,174316.55
1718,122554.055
1719,190743.12
1720,244316.3
1721,164958.89
1722,117715.555
1723,156927.8
1724,205027.48
1725,222966.95
1726,178360.36
1727,164534.39
1728,175810.61
1729,160701.53
1730,122549.37
1731,124085.32
1732,127625.48
1733,129081.055
1734,130620.65
1735,129693.07
1736,116420.89
1737,359204.88
1738,209435.58
1739,276738.1
1740,187609.98
1741,172849.95
1742,170783.66
1743,176091.81
1744,291304.6
1745,204491.28
1746,202336.52
1747,222006.31
1748,230990.22
1749,153832.75
1750,135133.12
1751,235336.94
1752,111586.62
1753,160143.8
1754,219455.02
1755,170489.38
1756,130782.086
1757,121079.97
1758,145217.44
1759,182664.19
1760,170143.47
1761,155262.78
1762,186517.81
1763,162937.92
1764,121465.43
1765,207375.05
1766,167960.14
1767,205821.44
1768,141049.53
1769,181180.12
1770,147217.69
1771,134826.88
1772,135291.14
1773,139950.95
1774,158742.4
1775,135244.66
1776,122934.95
1777,114392.8
1778,132084.78
1779,115717.71
1780,180000.0
1781,132478.86
1782,101793.516
1783,139082.58
1784,94520.42
1785,119452.41
1786,165333.97
1787,172660.36
1788,52483.547
1789,105650.46
1790,76046.695
1791,203388.89
1792,161424.6
1793,129884.5
1794,148597.14
1795,140167.1
1796,123343.234
1797,114820.06
1798,130983.29
1799,108789.55
1800,110518.79
1801,131090.36
1802,156273.38
1803,163458.38
1804,143706.7
1805,129864.266
1806,113950.76
1807,128659.61
1808,133041.61
1809,127064.06
1810,151346.89
1811,99626.65
